Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,15pF,C1555
"C10, C11, C12, C13, C14, C18, C19, C20, C21, C22, C3, C4, C5, C7, C9",0402,15,100nF,C1525
"C15, C16",0603,2,10uF,C96446
"C17, C6, C8",0402,3,1uF,C52923
"D1, D2, D3, D4, D5",0402,5,D_TVS,C468904
"D10, D6, D7, D8, D9",WS2812B-4020,5,WS2812B-4020,C965557
"R1, R3",0402,2,1k,C11702
"R10, R8",0402,2,2k,C4109
R12,0402,1,18k,C25762
"R2, R4",0402,2,10k,C25744
"R5, R6",0402,2,27,C138021
R7,0402,1,180k,C25760
R9,0402,1,100k,C25741
U1,SON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ ,C2843335
"U10, U11, U12, U4, U5, U6, U7, U8, U9",SON_R10A1_VIS_mod,9,VDMR10A1,C5821326
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,Texas_RSN_WQFN-32-1EP_4x4mm_P0.4mm_EP2.8x2.8mm_ThermalVias,1,IS31FL3729-QFLS4-TR,C2940549
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12.000MHz,C9002
