Designator,Mid X,Mid Y,Rotation,Layer
C1,53.76,-150.96,0.0,bottom
C10,65.9384,-153.2382,270.0,bottom
C11,65.1256,-142.3924,90.0,bottom
C12,61.5696,-153.2636,270.0,bottom
C13,61.341,-142.395,90.0,bottom
C14,56.681,-147.531,0.0,bottom
C15,56.6674,-154.9908,0.0,bottom
C16,66.5988,-155.1908,180.0,bottom
C17,75.0824,-150.5458,0.0,bottom
C18,73.5584,-148.971,90.0,bottom
C19,67.5132,-140.1318,270.0,bottom
C2,53.76,-145.626,180.0,bottom
C20,82.0166,-139.7,180.0,bottom
C21,81.7832,-65.0264,0.0,top
C22,81.7372,-99.9236,0.0,top
C3,70.8406,-152.5016,180.0,bottom
C4,56.681,-146.515,0.0,bottom
C5,68.06805,-147.9518,180.0,bottom
C6,67.9196,-145.542,180.0,bottom
C7,68.06805,-144.3958,180.0,bottom
C8,68.072,-143.3322,180.0,bottom
C9,68.06805,-146.9358,180.0,bottom
D1,63.9826,-155.448,0.0,bottom
D10,82.0755,-56.25,90.0,top
D2,59.55905,-155.448,180.0,bottom
D3,70.5104,-155.448,0.0,bottom
D4,72.8472,-155.448,180.0,bottom
D5,64.6938,-153.2382,270.0,bottom
D6,82.0755,-134.75,90.0,top
D7,82.0655,-104.29,90.0,top
D8,82.0755,-74.2,90.0,top
D9,82.0755,-61.55,90.0,top
R1,69.215,-154.2288,0.0,bottom
R10,60.452,-153.289,90.0,bottom
R12,72.263,-147.447,0.0,bottom
R2,67.1576,-153.2382,270.0,bottom
R3,56.681,-148.547,180.0,bottom
R4,56.681,-145.118,180.0,bottom
R5,70.1548,-146.685,0.0,bottom
R6,70.1548,-145.669,0.0,bottom
R7,61.84505,-155.4448,0.0,bottom
R8,59.3344,-153.287,90.0,bottom
R9,66.3194,-140.1318,270.0,bottom
U1,68.95705,-150.4918,90.0,bottom
U10,56.1,-147.5,90.0,top
U11,66.9,-147.5,90.0,top
U12,77.7,-147.5,90.0,top
U2,62.357,-147.574,90.0,bottom
U3,76.8208,-147.2296,270.0,bottom
U4,56.1,-87.0,90.0,top
U5,66.9,-87.0,90.0,top
U6,77.7,-87.0,90.0,top
U7,56.1,-117.1,90.0,top
U8,66.9,-117.1,90.0,top
U9,77.7,-117.1,90.0,top
Y1,53.76,-148.293,270.0,bottom
